id,name,email,country,city,address,debt,parent_id
1,Alfreds Futterkiste,Alfreds@Futterkiste.com,Germany,Berlin,Obere Str. 57,0.00,
2,Ana Trujillo Emparedados y helados,AnaTrujillo@Emparedados.com,Mexico,México D.F.,Avda. de la Constitución 2222,0.00,
3,Antonio Moreno Taquería,Antonio@Moreno.com,Mexico,México D.F.,Mataderos  2312,0.00,
4,Around the Horn,AroundTheHorn@aaa.com,UK,London,120 Hanover Sq.,0.00,1
5,Berglunds snabbköp,Berglunds@snabbköp.io,Sweden,Luleå,Berguvsvägen  8,0.00,2
6,Blauer See Delikatessen,BlauerDelikatessen@www.com,Germany,Mannheim,Forsterstr. 57,0.00,3
7,Blondesddsl père et fils,Blondesddsl@ppp.com,France,Strasbourg,"24, place Kléber",0.00,4
8,Bólido Comidas preparadas,Bólido_Comidas@preparadas.com,Spain,Madrid,"C/ Araquil, 67",0.00,5
9,Bon app',Bon_app@io.com,France,Marseille,"12, rue des Bouchers",0.00,6
10,Bottom-Dollar Markets,Bottom_Dollar@Markets.com,Canada,Tsawassen,23 Tsawassen Blvd.,0.00,7
11,B's Beverages,B's_Beverages@mmm.com,UK,London,Fauntleroy Circus,0.00,9
12,Cactus Comidas para llevar,Cactus_Comidas@mm.com,Argentina,Buenos Aires,Cerrito 333,0.00,7
13,Centro comercial Moctezuma,Centro_Moctezuma@aa.com,Mexico,México D.F.,Sierras de Granada 9993,0.00,8
14,Chop-suey Chinese,Chop_suey_Chinese@ccc.com,Switzerland,Bern,Hauptstr. 29,0.00,8
15,Comércio Mineiro,Comércio_Mineiro@www.com,Brazil,Sao Paulo,"Av. dos Lusíadas, 23",0.00,4
16,Consolidated Holdings,Consolidated_Holdings@www.com,UK,London,Berkeley Gardens 12  Brewery,0.00,6
17,Drachenblut Delikatessen,Drachenblut_Delikatessen@www.com,Germany,Aachen,Walserweg 21,0.00,
18,Du monde entier,Du_monde_entier@aaa.com,France,Nantes,"67, rue des Cinquante Otages",0.00,17
19,Eastern Connection,Eastern_Connection@eee.com,UK,London,35 King George,0.00,17
20,Ernst Handel,Ernst_Handel@iii.com,Austria,Graz,Kirchgasse 6,0.00,19
21,Familia Arquibaldo,Familia_Arquibaldo@lll.com,Brazil,Sao Paulo,"Rua Orós, 92",0.00,19
22,FISSA Fabrica Inter. Salchichas S.A.,FISSA@lll.com,Spain,Madrid,"C/ Moralzarzal, 86",0.00,18
23,Folies gourmandes,Folies_gourmandes@lll.com,France,Lille,"184, chaussée de Tournai",0.00,19
24,Folk och fä HB,Folk@lll.com,Sweden,Bräcke,Åkergatan 24,0.00,12
25,Frankenversand,Frankenversand@lll.com,Germany,München,Berliner Platz 43,0.00,21
26,France restauration,France_rest@lll.com,France,Nantes,"54, rue Royale",0.00,23
27,Franchi S.p.A.,Franchi_SpA@lll.com,Italy,Torino,Via Monte Bianco 34,0.00,2
28,Furia Bacalhau e Frutos do Mar,Furia_Bacalhau@lll.com,Portugal,Lisboa,Jardim das rosas n. 32,0.00,15
29,Galería del gastrónomo,Galería_gastrónomo@lll.com,Spain,Barcelona,"Rambla de Cataluña, 23",0.00,21
30,Godos Cocina Típica,Godos_Cocina_Típica@lll.com,Spain,Sevilla,"C/ Romero, 33",0.00,5
31,Gourmet Lanchonetes,Gourmet_Lanchonetes@lll.com,Brazil,Campinas,"Av. Brasil, 442",0.00,24
32,Great Lakes Food Market,Great_Lakes@lll.com,USA,Eugene,2732 Baker Blvd.,0.00,16
